url,price,address,bedrooms,bathrooms,living_area_sqft,latitude,longitude
https://www.zillow.com/homedetails/3016-Guadalupe-St-APT-305-Austin-TX-78705/80091300_zpid/,"$2,900/mo","3016 Guadalupe St Apt 305, Austin, TX 78705",2,2.0,"1,053",30.2975602,-97.7417129
https://www.zillow.com/homedetails/912-W-22nd-St-APT-305-Austin-TX-78705/62605518_zpid/,"$2,100/mo","912 W 22Nd St Apt 305, Austin, TX 78705",2,2.0,758,30.285717,-97.7476216
https://www.zillow.com/apartments/austin-tx/the-parker-at-hyde-park/5Xht6W/,"$1,425/mo","The Parker At Hyde Park, Austin, TX 78705",1,1.0,724,30.29005,-97.734457
https://www.zillow.com/apartments/austin-tx/university-quarters/CgxFxY/,"$1,050/mo","University Quarters, Austin, TX 78705",1,1.0,450,30.281176,-97.739907
https://www.zillow.com/apartments/austin-tx/camino-flats-pricing-for-entire-apt/5Xhsz4/,"$1,450/mo","Camino Flats Pricing For Entire Apt, Austin, TX 78705",1,1.0,500,30.232458,-97.79444
https://www.zillow.com/apartments/austin-tx/gables-central-park-texas/5Xht4q/,"$1,445/mo","Gables Central Park Texas, Austin, TX 78705",1,1.0,678,30.3045372,-97.7401037
https://www.zillow.com/apartments/austin-tx/the-eastwood/CgKzJ2/,"$1,795/mo","The Eastwood, Austin, TX 78705",2,2.0,851,30.2190483,-97.6990239
https://www.zillow.com/apartments/austin-tx/warwick/65WbrM/,"$1,100/mo","Warwick, Austin, TX 78705",1,1.0,300,30.1549851,-97.8554231
https://www.zillow.com/apartments/austin-tx/texan-pearl/CkCgy5/,"$1,395/mo","Texan Pearl, Austin, TX 78705",1,1.0,464,30.283103,-97.746735
https://www.zillow.com/apartments/austin-tx/texan-pearl/CkCgy5/,"$2,695/mo","Texan Pearl, Austin, TX 78705",3,2.0,"1,460",30.283103,-97.746735
https://www.zillow.com/apartments/austin-tx/sandpiper-apartments/CkBQqH/,"$1,200/mo","Sandpiper Apartments, Austin, TX 78705",1,1.0,422,30.385054,-97.67481
https://www.zillow.com/apartments/austin-tx/the-quarters-nueces-house-(student-housing-rent-by-the-bed)/CjjCRM/,$949/mo,"The Quarters Nueces House (Student Housing Rent By The Bed), Austin, TX 78705",1,1.0,768,30.282382,-97.744187
https://www.zillow.com/apartments/austin-tx/carrells/5XsPtB/,$950/mo,"Carrells, Austin, TX 78705",1,1.0,650,30.305512,-97.786378
https://www.zillow.com/apartments/austin-tx/troubadour-apartments/CjvSKv/,"$1,524/mo","Troubadour Apartments, Austin, TX 78705",1,1.0,437,30.413539,-97.758091
